accuracy,loss,val_accuracy,val_loss
0.49604445695877075,1.4364190101623535,0.5813999772071838,1.1717089414596558
0.6546888947486877,0.9772577881813049,0.6854000091552734,0.8892958760261536
0.7161555290222168,0.8109411597251892,0.6448000073432922,1.0739080905914307
0.7535111308097839,0.699420690536499,0.7365999817848206,0.7785443067550659
0.7877110838890076,0.5995886921882629,0.7289999723434448,0.8198192119598389
0.8170889019966125,0.5202591419219971,0.7567999958992004,0.7241910696029663
0.8370222449302673,0.4558457136154175,0.7749999761581421,0.7129358649253845
0.8554888963699341,0.4004543423652649,0.6973999738693237,1.07011079788208
0.8741111159324646,0.35516101121902466,0.7666000127792358,0.8295404314994812
0.8883777856826782,0.31286853551864624,0.7760000228881836,0.8057308793067932
0.9007777571678162,0.2791311740875244,0.7820000052452087,0.8161895275115967
0.9090666770935059,0.2548144459724426,0.7730000019073486,0.8387463688850403
0.9165111184120178,0.23371045291423798,0.7674000263214111,0.9711400270462036
0.9238888621330261,0.21310624480247498,0.7943999767303467,0.8337905406951904
0.929711103439331,0.19705159962177277,0.7922000288963318,0.8223600387573242
0.9343777894973755,0.18357747793197632,0.7815999984741211,0.9305049777030945
0.938955545425415,0.17747047543525696,0.7937999963760376,0.9520329236984253
0.9441333413124084,0.16410334408283234,0.7925999760627747,0.9698908925056458
0.9463777542114258,0.154532328248024,0.800599992275238,0.9025441408157349
0.9448444247245789,0.15586572885513306,0.8086000084877014,0.8544917702674866
0.9475777745246887,0.149579256772995,0.807200014591217,0.8983028531074524
0.953844428062439,0.1365775614976883,0.8151999711990356,0.9111881852149963
0.9546889066696167,0.13199368119239807,0.7901999950408936,0.9729793667793274
0.9567111134529114,0.12368078529834747,0.8014000058174133,0.8871096968650818
0.9578666687011719,0.12230394035577774,0.8033999800682068,0.9658417105674744
0.9586889147758484,0.120356984436512,0.8098000288009644,0.9453575015068054
0.9595111012458801,0.11711534112691879,0.8080000281333923,0.9495644569396973
